vendor_id,smce_id,quarter,year,round,update_date,self_score,self_description,attachment_id,user_id
2,138,2,2017,1,2017-04-01 00:00:01,5,"The process of creating and loading a catalog in BuyerQuest is suprisingly easy.  BuyerQuest offers a wonderfully simple interface that is powered by a robust workflow engine that streamlines and automates the catlog loading (supply-side) and approval (buy-side) processes. 

BuyerQuest automatically validates incoming content against buyer-defined rules and our workflow engine guides the supplier through the exception handling and re-submittal processes. Catalogs can be uploaded in XLS and CSV templated formats as well as consumed via various web service or sFTP protocols. BuyerQuest catalog formats support rich item and detail information, atttributes, OEM data, Supporting product attachments, manuals, warranties, and even multimedia training of maintenance videos.

BuyerQuest also supports standard OCI punchout methods.",,0
2,139,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest automatically validates incoming content against buyer-defined rules and our workflow engine guides the supplier through the exception handling and re-submittal processes.

See attached documentation with respect to BuyerQuest Catalog Quality Standards.",,0
2,140,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest Self-Service Catalog Management provides best-in-class capture, comparison, approval, promotion and maintenance of catalog data. 

The BuyerQuest system provides the Supplier with a Dashboard to review statistics on their catalogs, including a graphical view, as well as chart-organized information related to Catalog Management, including best sellers, etc. 

The BuyerQuest Network (BQN) provides the Supplier with a way to upload, modify and manage catalogs, at any time, with no impact on performance. The system provides Suppliers with success and failure notifications regarding catalog import.",,0
2,141,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest automatically validates incoming content against buyer-defined rules and our workflow engine guides the supplier through the exception handling and re-submittal processes.

Catalogs can be uploaded in XLS and CSV templated formats as well as consumed via various web service or sFTP protocols.

BuyerQuest catalog formats support rich item and detail information, atttributes, OEM data, Supporting product attachments, manuals, warranties, and even multimedia training of maintenance videos.

If needed, BuyerQuest also supports standard OCI & cXML punchout methods.",,0
2,142,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest offers the following Catalog Objects:
Common Fields
Additional Attrinutes
Custom Options
Bundles
Replacement Parts (+ Diagrams)
File Attachments (Multi-media)
Tiered Pricing

BuyerQuest also integrates Services Procurement and Non-Catalog Requests.",,0
2,143,2,2017,1,2017-04-01 00:00:01,4,Catlogs can be viewed and approved via mobile - but not uploaded or otherwise managed by suppliers via mobile.,,0
2,144,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest's analytics philosophy is to combine transactional data with rich behavioral intelligence to present a multi-dimensional view of spend patterns.  Behavioral intelligence includes information with respect to buyer activity within the application, browser/platform information, search with (and without) results, as well as specific product or service performance by a whole range of dimensions. 

Every interaction that occurs within the BuyerQuest solution in maintained in an audit trail that our customers can analyze and reporot from.  BuyerQuest's analytics dashboards provides dozens of reports and metrics that can be used to better understand how your goods and services are performing against your procurement strategy as well as how you processes and workflows are impacting and/or improving the end user experience.",,0
2,145,2,2017,1,2017-04-01 00:00:01,5,BuyerQuest continues to work closely with IBM Watson to bring even more advanced cognitive capabilities to the content / catalog management process.,,0
2,146,2,2017,1,2017-04-01 00:00:01,3,This is an active strategic initiative as our software supports a model such as this.  Stay tuned for more news soon!,,0
2,147,2,2017,1,2017-04-01 00:00:01,2,"Buyerquest can support OnPremise software for Public Sector clients.  That said, Buyerquest's GTM strategy is to sell & support our cloud / SaaS solution. ",,0
2,148,2,2017,1,2017-04-01 00:00:01,3,"Buyerquest does not support web-crawling or screenscraping.  We think this technology is flawed, doesn't scale, and is not supplier (or user) friendly.  Buyerquest is working with IBM Watson to gather market pricing information and additional catalog specific information from 3rd party sites.",,0
2,149,2,2017,1,2017-04-01 00:00:01,5,BuyerQuest handles content / catalogs differently (and more robustly) than any eProcurement provider in the world.  We will continue to lead the way as we focus additional resources on building out more and more cogntiive capabilities (through Buyerquest's strategic partnership with IBM Watson),,0
2,150,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest offers multiple paths to creating a requisition.  When a user submits a shopping cart, BuyerQuest launched a single page check-out which captures all of the required information necessary to execute a requisition.  Our customers can choose to default information like accounting codes, cost center information, and approval hierarchies.  Our customers can also allow ueser to make edits or adjustments at both the header and line level.   

Users can also use Saved Shopping List templates to create a requisition.   Users can also complete a ""Quick Order"" form which instantly validates any SKUs and quickly kicks off the single page checkout.",,0
2,151,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest offers our customers unparalled control of the various interfaces available to end users.  Through the use of our Content Group functionality, our customers can personalize what each and every user role can see and do.  Content groups determine how the interface is branded, what suppliers the user can see, as well as which product and service specific items and pricing that each specific user group can see.  ",,0
2,152,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest offers inmatched felxibility to our customers with respect to how home pages are configured for specific user roles.  

Through the use of our ""Home Page Widget"" adminsitrative tools, our customers can customize the MarketPlace home page without needing any technical resources.

Available widgets include Home Page Sliders, Suggested/Popular items, Custom CMS blocks, as well as widgets for dashboard views of Requisitons, Purchase Orders, Invoices, Receipts, Saved Shopping Carts and many others.

BuyerQuest's built in content management system (CMS) allows for an unlimited number of custom pages for a client. An example would be a complex project where there are several steps in a buying sequence. This can be represented visually and tied to applicable bundles, products, and services",,0
2,153,2,2017,1,2017-04-01 00:00:01,5,"As described above in the previous 2 questions, BuyerQuest customers use ""Content Group"" and ""Home Page Widget"" adminsitrative controls to mass customize the solution tagreting specific user demographics.",,0
2,154,2,2017,1,2017-04-01 00:00:01,5,"BuyerQuest offers a customers broad and powerful search capabilities including  the ability to search on key words, enable federated search across different source content types simultaneously, parametric/filters such as company attributes, product attributes, categories, suppliers, price, flags. 

BuyerQuest also offers keyword and ""type-ahead"" suggestions,  multiple catalog search filters to refine results,  the ability to search based on contracted SKUs, inventory items, like/similar items, preferred items/suppliers, etc.. 

When you combine this idea of broad and powerful search capabilities as applied to a single storefront that - unlike competing solutions - contains ALL of our customers' contracts and content, this results in unmatched search capabiliteis within the procurement context.",,0
2,155,2,2017,1,2017-04-01 00:00:01,4,We support this capability via punchout.  BuyerQuest comes fully integrated with an Amazon Business punch out.,,0
2,156,2,2017,1,2017-04-01 00:00:01,4,"BuyerQuest offers an intuitive and user-friendly mechanism to create and submit requisitions.

Once they have finished shooping and adding their Goods and/or Services to their shopping cart,  our customers take advantage of a single page checkout process that forms the basis of the requisition.  Shipping, deliver-to, need-by dates, accounting, and approval information can be defaulted at the enterprise level or manually configured depending on policy.  Users can review all relevant information and, where permissable, make changes to any of the presented fileds prior to submitting.  

BuyerQuest users can also quickly create requisitions using either our Quick Order form or any number of saves shopping lists or carts.

Creating and submitting requisitions typically takes less than 2 minutes and no user training is needed at all.

",,0
2,157,2,2017,1,2017-04-01 00:00:01,3,"BuyerQuest employs a Micro-Services architecture that makes integrations fast and painless.   BuyerQuest integrates with a wide variety of 3rd party systems, including but no limited to:  SAP-SRM, SAP-ECC, SAP-Ariba, Oracle, Oracle iProcurement, PeopleSoft, JDE, Great Plains, Various Mainframe systems, Netsuite, Workday, Fieldglass, IQNavigator, IBM Sterling, IBM Watson",,0
2,158,2,2017,1,2017-04-01 00:00:01,4,"BuyerQuest is uniquely capable of combining catalog items, non-catalog items, and Services requests in one instance and in one workflow.

Using a combination of our powerful workflow engine and our dynamic webform capabilities, BuyerQuest offers customers the ability to capture any type of non-catalog item and access more than 100 Service category templates.

For non-catalog items, BuyerQuest offers smart Non-Catalog request forms that capture relevant information from the requestor and channels that request to the appropriate buyer within the procurement team for sorucing activity.  This enable procurement teams to quickly bring rogue spend under management,

For Services items, BuyerQuest customers are able to leverage and expand on over 100 Service category templates that allow the user to toggle between T&M, FIxed Fee and any other number of engagement types.",,0
