m_id,e_id,active,quarter,year,ud,user_id
1,138,1,2,2017,2017-04-01 00:00:01,1
1,139,1,2,2017,2017-04-01 00:00:01,1
1,140,1,2,2017,2017-04-01 00:00:01,1
1,141,1,2,2017,2017-04-01 00:00:01,1
1,142,1,2,2017,2017-04-01 00:00:01,1
1,143,1,2,2017,2017-04-01 00:00:01,1
1,144,1,2,2017,2017-04-01 00:00:01,1
1,145,1,2,2017,2017-04-01 00:00:01,1
1,146,1,2,2017,2017-04-01 00:00:01,1
1,147,1,2,2017,2017-04-01 00:00:01,1
1,148,1,2,2017,2017-04-01 00:00:01,1
1,149,1,2,2017,2017-04-01 00:00:01,1
1,150,1,2,2017,2017-04-01 00:00:01,1
1,151,1,2,2017,2017-04-01 00:00:01,1
1,152,1,2,2017,2017-04-01 00:00:01,1
1,153,1,2,2017,2017-04-01 00:00:01,1
1,154,1,2,2017,2017-04-01 00:00:01,1
1,155,1,2,2017,2017-04-01 00:00:01,1
1,156,1,2,2017,2017-04-01 00:00:01,1
1,157,1,2,2017,2017-04-01 00:00:01,1
1,158,1,2,2017,2017-04-01 00:00:01,1
1,159,1,2,2017,2017-04-01 00:00:01,1
1,160,1,2,2017,2017-04-01 00:00:01,1
1,161,1,2,2017,2017-04-01 00:00:01,1
1,162,1,2,2017,2017-04-01 00:00:01,1
1,163,1,2,2017,2017-04-01 00:00:01,1
1,164,1,2,2017,2017-04-01 00:00:01,1
1,165,1,2,2017,2017-04-01 00:00:01,1
1,166,1,2,2017,2017-04-01 00:00:01,1
1,167,1,2,2017,2017-04-01 00:00:01,1
1,168,1,2,2017,2017-04-01 00:00:01,1
1,169,1,2,2017,2017-04-01 00:00:01,1
1,170,1,2,2017,2017-04-01 00:00:01,1
1,171,1,2,2017,2017-04-01 00:00:01,1
1,172,1,2,2017,2017-04-01 00:00:01,1
1,173,1,2,2017,2017-04-01 00:00:01,1
1,174,1,2,2017,2017-04-01 00:00:01,1
1,175,1,2,2017,2017-04-01 00:00:01,1
1,176,1,2,2017,2017-04-01 00:00:01,1
1,177,1,2,2017,2017-04-01 00:00:01,1
1,178,1,2,2017,2017-04-01 00:00:01,1
1,179,1,2,2017,2017-04-01 00:00:01,1
1,180,1,2,2017,2017-04-01 00:00:01,1
1,181,1,2,2017,2017-04-01 00:00:01,1
1,182,1,2,2017,2017-04-01 00:00:01,1
1,183,1,2,2017,2017-04-01 00:00:01,1
1,184,1,2,2017,2017-04-01 00:00:01,1
1,185,1,2,2017,2017-04-01 00:00:01,1
1,186,1,2,2017,2017-04-01 00:00:01,1
1,187,1,2,2017,2017-04-01 00:00:01,1
1,188,1,2,2017,2017-04-01 00:00:01,1
1,189,1,2,2017,2017-04-01 00:00:01,1
1,190,1,2,2017,2017-04-01 00:00:01,1
1,191,1,2,2017,2017-04-01 00:00:01,1
1,192,1,2,2017,2017-04-01 00:00:01,1
1,193,1,2,2017,2017-04-01 00:00:01,1
1,194,1,2,2017,2017-04-01 00:00:01,1
1,195,1,2,2017,2017-04-01 00:00:01,1
1,196,1,2,2017,2017-04-01 00:00:01,1
1,197,1,2,2017,2017-04-01 00:00:01,1
1,198,1,2,2017,2017-04-01 00:00:01,1
1,199,1,2,2017,2017-04-01 00:00:01,1
1,200,1,2,2017,2017-04-01 00:00:01,1
1,201,1,2,2017,2017-04-01 00:00:01,1
1,202,1,2,2017,2017-04-01 00:00:01,1
1,203,1,2,2017,2017-04-01 00:00:01,1
1,204,1,2,2017,2017-04-01 00:00:01,1
1,205,1,2,2017,2017-04-01 00:00:01,1
1,206,1,2,2017,2017-04-01 00:00:01,1
1,207,1,2,2017,2017-04-01 00:00:01,1
1,208,1,2,2017,2017-04-01 00:00:01,1
1,209,1,2,2017,2017-04-01 00:00:01,1
1,210,1,2,2017,2017-04-01 00:00:01,1
1,211,1,2,2017,2017-04-01 00:00:01,1
1,212,1,2,2017,2017-04-01 00:00:01,1
1,213,1,2,2017,2017-04-01 00:00:01,1
1,214,1,2,2017,2017-04-01 00:00:01,1
1,215,1,2,2017,2017-04-01 00:00:01,1
1,216,1,2,2017,2017-04-01 00:00:01,1
1,217,1,2,2017,2017-04-01 00:00:01,1
1,218,1,2,2017,2017-04-01 00:00:01,1
1,219,1,2,2017,2017-04-01 00:00:01,1
1,220,1,2,2017,2017-04-01 00:00:01,1
1,221,1,2,2017,2017-04-01 00:00:01,1
1,222,1,2,2017,2017-04-01 00:00:01,1
1,223,1,2,2017,2017-04-01 00:00:01,1
1,224,1,2,2017,2017-04-01 00:00:01,1
1,225,1,2,2017,2017-04-01 00:00:01,1
1,226,1,2,2017,2017-04-01 00:00:01,1
2,195,1,2,2017,2017-04-01 00:00:01,1
2,196,1,2,2017,2017-04-01 00:00:01,1
2,197,1,2,2017,2017-04-01 00:00:01,1
2,199,1,2,2017,2017-04-01 00:00:01,1
2,200,1,2,2017,2017-04-01 00:00:01,1
2,201,1,2,2017,2017-04-01 00:00:01,1
2,202,1,2,2017,2017-04-01 00:00:01,1
2,203,1,2,2017,2017-04-01 00:00:01,1
2,204,1,2,2017,2017-04-01 00:00:01,1
2,205,1,2,2017,2017-04-01 00:00:01,1
2,206,1,2,2017,2017-04-01 00:00:01,1
2,207,1,2,2017,2017-04-01 00:00:01,1
2,208,1,2,2017,2017-04-01 00:00:01,1
2,209,1,2,2017,2017-04-01 00:00:01,1
2,210,1,2,2017,2017-04-01 00:00:01,1
2,211,1,2,2017,2017-04-01 00:00:01,1
2,212,1,2,2017,2017-04-01 00:00:01,1
2,213,1,2,2017,2017-04-01 00:00:01,1
2,214,1,2,2017,2017-04-01 00:00:01,1
2,215,1,2,2017,2017-04-01 00:00:01,1
2,216,1,2,2017,2017-04-01 00:00:01,1
2,217,1,2,2017,2017-04-01 00:00:01,1
2,218,1,2,2017,2017-04-01 00:00:01,1
2,219,1,2,2017,2017-04-01 00:00:01,1
2,220,1,2,2017,2017-04-01 00:00:01,1
2,221,1,2,2017,2017-04-01 00:00:01,1
2,222,1,2,2017,2017-04-01 00:00:01,1
2,223,1,2,2017,2017-04-01 00:00:01,1
2,224,1,2,2017,2017-04-01 00:00:01,1
2,225,1,2,2017,2017-04-01 00:00:01,1
2,226,1,2,2017,2017-04-01 00:00:01,1
2,227,1,2,2017,2017-04-01 00:00:01,1
2,228,1,2,2017,2017-04-01 00:00:01,1
2,229,1,2,2017,2017-04-01 00:00:01,1
2,230,1,2,2017,2017-04-01 00:00:01,1
2,231,1,2,2017,2017-04-01 00:00:01,1
2,232,1,2,2017,2017-04-01 00:00:01,1
2,233,1,2,2017,2017-04-01 00:00:01,1
2,234,1,2,2017,2017-04-01 00:00:01,1
2,235,1,2,2017,2017-04-01 00:00:01,1
2,236,1,2,2017,2017-04-01 00:00:01,1
2,237,1,2,2017,2017-04-01 00:00:01,1
2,238,1,2,2017,2017-04-01 00:00:01,1
2,239,1,2,2017,2017-04-01 00:00:01,1
2,240,1,2,2017,2017-04-01 00:00:01,1
2,241,1,2,2017,2017-04-01 00:00:01,1
2,242,1,2,2017,2017-04-01 00:00:01,1
2,243,1,2,2017,2017-04-01 00:00:01,1
3,138,1,2,2017,2017-04-01 00:00:01,1
3,139,1,2,2017,2017-04-01 00:00:01,1
3,140,1,2,2017,2017-04-01 00:00:01,1
3,141,1,2,2017,2017-04-01 00:00:01,1
3,142,1,2,2017,2017-04-01 00:00:01,1
3,143,1,2,2017,2017-04-01 00:00:01,1
3,144,1,2,2017,2017-04-01 00:00:01,1
