vendor_id,m_id,partic,customer_count,user_id
7,4,1,300,1
4,4,1,26,1
28,4,1,190,1
11,4,1,175,1
10,4,1,225,1
30,4,1,100,1
31,4,1,300,1
22,4,1,400,1
33,4,1,232,1
34,4,1,68,1
25,4,1,100,1
4,7,1,40,1
49,7,1,130,1
11,7,1,100,1
50,7,1,100,1
10,7,1,160,1
51,7,1,540,1
22,7,1,400,1
53,7,1,25,1
7,7,1,300,1
4,6,1,111,1
11,6,1,155,1
10,6,1,225,1
43,6,1,15,1
45,6,1,16,1
46,6,1,30,1
22,6,1,400,1
34,6,1,55,1
47,6,1,27,1
7,6,1,300,1
4,5,1,26,1
11,5,1,150,1
10,5,1,155,1
35,5,1,115,1
36,5,1,90,1
37,5,1,70,1
38,5,1,10,1
40,5,1,68,1
22,5,1,400,1
7,5,1,300,1
6,1,1,50,1
25,1,1,100,1
12,1,1,600,1
17,1,1,338,1
1,1,1,250,1
7,1,1,500,1
4,1,1,76,1
11,1,1,200,1
10,1,1,250,1
18,1,1,600,1
19,1,1,200,1
15,1,1,360,1
13,1,1,32,1
22,1,1,400,1
14,2,1,75,1
12,2,1,600,1
17,2,1,1920,1
1,2,1,250,1
7,2,1,500,1
4,2,1,58,1
11,2,1,200,1
10,2,1,250,1
18,2,1,600,1
19,2,1,200,1
15,2,1,360,1
13,2,1,17,1
22,2,1,400,1
12,3,1,600,1
17,3,1,2700,1
1,3,1,250,1
7,3,1,500,1
4,3,1,60,1
11,3,1,200,1
10,3,1,250,1
18,3,1,600,1
19,3,1,200,1
15,3,1,360,1
13,3,1,60,1
22,3,1,400,1
4,8,1,176.6,1
11,8,1,151,1
10,8,1,198,1
22,8,1,400,1
7,8,1,300,1
4,9,1,137.733139,1
11,9,1,167.333415,1
10,9,1,215.33342,1
22,9,1,400,1
7,9,1,366.66,1
54,10,1,250,1
7,10,1,30,1
55,10,1,5,1
54,11,1,250,1
7,11,1,35,1
53,11,1,29,1
54,12,1,15,1
56,12,1,65,1
57,12,1,13,1
58,12,1,17,1
59,12,1,110,1
60,12,1,100,1
61,12,1,480,1
62,12,1,225,1
26,1,1,400,1
63,4,1,9,1
63,5,1,20,1
64,6,1,7,1
65,5,1,224,1
66,4,1,10,1
25,6,1,100,1
67,10,1,10,1
67,11,1,10,1
68,12,1,15,1
69,10,1,160,1
69,11,1,20,1
44,6,2,100,1
27,4,2,500,1
27,5,2,500,1
27,6,2,300,1
27,7,2,180,1
27,8,2,396,1
9,1,2,330,1
9,2,2,330,1
9,3,2,330,1
9,4,2,250,1
9,6,2,50,1
23,1,2,200,1
23,4,2,200,1
23,5,2,175,1
23,6,2,200,1
23,7,2,125,1
23,8,2,180,1
29,4,2,50,1
12,4,2,500,1
12,5,2,225,1
12,6,2,70,1
12,7,2,300,1
12,8,2,319,1
12,9,2,412.667135,1
32,4,2,96,1
48,6,2,28,1
8,1,1,40,1
8,2,1,40,1
8,3,1,40,1
8,4,1,175,1
8,5,1,500,1
8,6,1,300,1
8,7,1,125,1
8,8,1,255,1
8,9,1,183.332975,1
