7,1,2019,3,1,5,"The CCW Match Index Intelligence uses artificial intelligence-based natural language processing and unsupervised machine learning algorithms to determine the match of candidates' resumes to requirements and then compare and bucket the candidates. This is not a standard keyword search but an AI-based algorithm which does contextual analysis.

AI/Machine learning is also used for market demand analysis and to classify the requisitions scraped from the different job boards and corporate sites for cognitive learning about the skill demand in different geographies.",5
7,2,2019,3,1,5,"The purpose the machine learning algorithms in CCW is to track and advise on candidate matches, rate guidance and decisions regarding  the type of procurement (e.g. contingent worker, service procurement etc.). The actions taken by the user after providing the guidance is tracked, and used to determine the effectiveness of the guidance.",5
7,3,2019,3,1,5,"Algorithms are key part of Coupa Contingent Workforce. These are used to drive decisions in key processes including but not limited to determining the right requisition type, sending actionable notifications to right receipients like for tenure violations, missing timesheets, pending requisitions etc. , applying runtime validations when timesheets are being entered, deciding the next approver in the workflow etc.",5
7,4,2019,3,1,5,"Coupa Contingent Workforce captures, analyzes and retains all data entered into the system.  
It allows customers to capture extensive non-financial & financial information about requisitions, candidates, contingent workers  their engagements, SOW based projects and suppliers. Transactions like timesheet, expenses, invoices, payments capture extensive data points for the product & its users to make informed decisions.

In addition, it creates a history (date and time stamp, user conducting transaction) of every record's original creation and update; every transaction's submission, change and approval; every interface to external applications (e.g. validation of charge# with ERP systems, submission of invoice, update of organization hierarchy etc.), every mass update (file upload or call of import/export API), and every report creation (including the users and parameters used for the report).  Audit trails of all transactions are viewable as logs and/or reports.

We have full backups on a daily basis during off-hours.  In addition, we also conduct differential backups every hour and a transaction log backup every 30 minutes.  All upgrades and patches also require a full backup prior to applying the patches. The data is stored onsite and then moved offsite at the end of every month. The full and incremental backups are retained for 3 months. Thereafter, only the full backups are retained for another 6 months and then the backup is stored and archived in AWS glacier for long term access and audit.  CCW uses Amazon Simple Storage Service (Amazon S3) as the cloud backup storage provider.

Transactional data is archived every quarter if it is older than 7 years. However, for reporting, the data warehouse always contains the data and it is not purged. Archived data is available for reporting through the data warehouse cubes. However, if the archived data needs to be restored for other transactions, the restoration can be completed within 3 business days after request.",4
7,5,2019,3,1,4,"Coupa contingent workforce allows data to be exported on demand at different customer interactions for e.g. exporting grids after searching & filtering the required records e.g. for contingent workers. File extracts be scheduled to run any number of times at user defined frequency like minutely, hourly, daily, weekly, monthly. Data can be exported by authorized users in different formats such as Excel, PDF, or CSV formats. In addition
In addition, Coupa Contingent Workforce allows extraction of key data concepts like requisitions, candidates, workers, projects etc. as ""data cubes"" with extensive set of fields which customers can use to feed into their own data lake/ware houses. The data cubes are exported in XML formats.",3
7,5,2019,3,2,,,4
7,6,2019,3,1,5,"Coupa Contingent Workforce ""Adhoc Reports"" module allows authorized users to build their own queries and  defining their own extracts. In addition to that, user can also define their own dashboards by choosing various metrics & KPI's they would like to track & extract them at on-demand basis",3
7,7,2019,3,1,5,"Coupa Contingent Workforce provides the ability to search on all standard and custom fields. The text fields are searchable with ""contains"" clause. The standard fields are searchable with drop down/type ahead searches. Resume attachments are also searchable. Filters can also be applied to transaction types, locations, or any other type of filter that provides views of different levels of activity from the enterprise to the individual. All stored documents and links have tags or names which allows them to become searchable and provide a reference.  CCW queries can be saved, enabling clients to create snapshots of data at a given time, with anytime access, to report and analyze trends over time.",3
7,8,2019,3,1,5,"Using CCW's ad hoc report generator, custom reports can be generated in which data is simultaneously searched and sorted against three criteria. This provides detailed reports indicating topic, scope and time frame. Any field, including all custom fields, can be included in a CCW report. The report generator is similar in style to pivot tables, making it easy for all authorized users to quickly generate an ad hoc report. The client and/or MSP does not require the services of Coupa or their internal IT staff to generate custom reports. Access to data and to the ad hoc reporting feature are determined by the roles assigned by the program administrator.",3
7,8,2019,3,2,,,4
